Unique_Speaker,Sex,Location,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,numerical_Agreeableness,numerical_Conscientiousness,numerical_Extraversion,numerical_Neuroticism,numerical_Openness
108,M,Glasgow,low,low,low,low,high,50.0,40.0,31.0,36.0,55.0
108,M,Glasgow,high,high,low,low,high,55.0,62.0,51.0,34.5,57.0
108,M,Glasgow,low,low,low,low,low,47.5,51.5,37.0,35.0,40.0
109,F,Glasgow,high,low,high,high,low,58.5,47.5,61.5,59.5,49.5
109,F,Glasgow,high,low,high,high,low,53.0,39.5,66.5,48.5,52.0
109,F,Glasgow,low,high,high,high,high,52.0,61.0,66.0,57.0,60.0
110,M,Glasgow,high,high,high,low,high,55.5,67.0,55.0,34.5,65.0
110,M,Glasgow,high,high,high,low,high,68.5,72.5,63.0,30.0,70.0
110,M,Glasgow,low,low,high,low,high,47.0,54.5,57.5,32.0,58.0
111,F,Glasgow,high,low,low,high,low,61.5,50.5,30.5,44.5,49.0
111,F,Glasgow,high,high,low,high,high,58.5,56.0,31.5,50.5,60.0
111,F,Glasgow,high,high,low,high,low,64.5,58.5,36.0,42.5,53.5
112,M,Glasgow,high,low,low,low,low,58.0,54.0,32.0,39.5,45.0
112,M,Glasgow,low,low,low,low,low,47.5,54.0,41.0,40.5,39.5
112,M,Glasgow,low,low,low,low,low,48.0,41.5,36.5,40.0,41.5
